OccupationCode,OccupationText,,,
2659,Creative and performing artists not elsewhere classified,,,
31,Physical and Engineering Science Associate Profess,,,
3110,Physical and engineering science technicians,,,
3111,Chemical and physical science techniciens,,,
3112,Civil engineering technicians,,,
3113,Electrical engineering technicians,,,
3114,Electronics & telecom engineering technicians,,,
3115,Mechanical engineering technicians,,,
3116,Chemical engineering technicians,,,
3117,Mining and metallurgical technicians,,,
3118,Draughtspersons,,,
3119,Physical and engineering science technicians not c,,,
3120,Computers associate professionals,,,
3121,Computer assistants,,,
3122,Computer equipment operators,,,
3123,Industrial robot controllers,,,
3130,Optical and electronic equipment operators,,,
3131,"Photographers, image and sound equipt operators",,,
3132,Telecommunications technicians,,,
3133,Medical equipment operators,,,
3134,Petroleum and natural gas refining plant operators,,,
3135,Metal production process controllers,,,
3139,Optical  & electronic equipt operators not classif,,,
3140,Ship and aircraft controllers and technicians,,,
3141,Ships' engineers,,,
3142,Ships' deck officers and pilots,,,
3143,Aircraft pilots and related professionals,,,
3144,Air traffic controllers,,,
3145,Air traffic safety technicians,,,
3150,Safety and quality inspectors,,,
3151,Building & fire inspectors,,,
3152,"Safety, health & quality inspectors",,,
3152,"Ships' deck officers and pilots",,,
3153,Aircraft pilots and related associate professionals,,,
3154,Air traffic controllers,,,
3155,Air traffic safety electronics technicians,,,
3210,Life science technicians and related professionals,,,
3211,Life science technicians,,,
3212,Agronomy and forestry technicians,,,
3213,Farming and forestry advisers,,,
3214,Medical and dental prosthetic technicians,,,
3220,Modern health associate professionals,,,
3221,Medical assistants,,,
3222,Sanitarians,,,
3223,Dieticians & nutritionists,,,
3224,Optometrists & opticians,,,
3225,Dental assistants,,,
3226,Physiotherapists and related,,,
3227,Veterinary assistants,,,
3228,Pharmaceutical assistants,,,
3229,Modern health professionals not classified,,,
3230,Nursing and midwifery associate professionals,,,
3231,Nursing associate professionals,,,
3232,Midwifery associate professionals,,,
3240,Traditional medicine practitioners / faith healers,,,
3241,Traditional medicine practitioners,,,
3242,Faith healers,,,
3251,Dental assistants and therapists,,,
3252,Medical records and health information technicians,,,
3253,Community health workers,,,
3254,Dispensing opticians,,,
3255,Physiotherapy technicians and assistants,,,
3256,Medical assistants,,,
3257,Environmental and occupational health inspectors and associates,,,
3258,Ambulance workers,,,
3259,Health associate professionals not elsewhere classified,,,
33,Teaching Associate Professionals,,,
3310,Primary education teaching assoicate professionals,,,
3311,Securities and finance dealers and brokers,,,
3312,Credit and loans officers,,,
3313,Accounting associate professionals,,,
3314,"Statistical, mathematical and related associate professionals",,,
3315,Valuers and loss assessors,,,
3320,Pre-primary education teaching associate professionals,,,
3321,Insurance representatives,,,
3322,Commercial sales representatives,,,
3323,Buyers,,,
3324,Trade brokers,,,
3330,Special education teaching associate professionals,,,
3331,Clearing and forwarding agents,,,
3332,Conference and event planners,,,
3333,Employment agents and contractors,,,
3334,Real estate agents and property managers,,,
3339,Business services agents not elsewhere classified,,,
3340,Other teaching associate professionals,,,
3341,Office supervisors,,,
3342,Legal secretaries,,,
3343,Administrative and executive secretaries,,,
3344,Medical secretaries,,,
3351,Customs and border inspectors,,,
3352,Government tax and excise officials,,,
3353,Government social benefits officials,,,
3354,Government licensing officials,,,
3355,Police inspectors and detectives,,,
3359,Regulatory government associate professionals not elsewhere classified,,,
34,Other Associate Professionals,,,
3410,Finance and sales associate professionals,,,
3411,Securities & finance dealers & brokers,,,
3412,Insurance representatives,,,
3413,Estate agents,,,
3414,Travel consultants & organisers,,,
3415,Sales representatives/merchant/trader,,,
3416,Buyers,,,
